address,total_fees,total_txs
cosmos152pcxqck9hfzsc55l892el80cvq2zup73n0v5p,"[{""denom"":""uatom"",""amount"":14305}]",39
cosmos1d5h3r8rp2ufypt0pwpk7wzcq87g0m5rh67zpvg,"[{""denom"":""uatom"",""amount"":209999}]",38
cosmos1whwr2lzsq6cwukax8n2menqv00835cxedyw64l,"[{""denom"":""uatom"",""amount"":1960}]",38
cosmos1t9uy6ee8zmenu2kw0pahdq5rtgwsxffzd3am93,"[{""denom"":""uatom"",""amount"":58468}]",36
cosmos1fjw9hvt7dulewrn4e65u6f39arexhyk5umj0cq,"[{""denom"":""uatom"",""amount"":1978342}]",35
cosmos14j84gsqa8ca4l9t5sf0v69mmrpdpeljxuunhlx,"[{""denom"":""uatom"",""amount"":18042}]",35
cosmos14yv467aq8gmh4h6gtznsdc55cy944efah750wh,"[{""denom"":""uatom"",""amount"":487500}]",34
cosmos1ms6mryfa04xgrz0vn9l9dh5fmtxuu2xrjx93lv,"[{""denom"":""uatom"",""amount"":33375}]",33
cosmos1wqp8yslqh2mdvxzgljsde8wu6nyjp4qyk5ccwh,"[{""denom"":""uatom"",""amount"":88183}]",31
cosmos1z8gqqlsnryysn9mca0q24q0yyl7ue24kjwc2nu,"[{""denom"":""uatom"",""amount"":313750}]",31
cosmos133spn0rqrs66xqlhvh5jlfuw238r9uq90cwd3n,"[{""denom"":""uatom"",""amount"":601250}]",30
cosmos1my45c2x53cysgzalg3e0hkh8alys09tjk7ttkw,"[{""denom"":""uatom"",""amount"":281250}]",27
cosmos1e6fhxeemhn662xngscsudxva427jtw3mytc968,"[{""denom"":""uatom"",""amount"":292500}]",26
cosmos14rg7nnm2p28wgk5smkarm0mpyzjtnraqdx6aaf,"[{""denom"":""uatom"",""amount"":280}]",25
cosmos1a3rgs3l9g6pdwtcrcdjyl0qkqphsgaps4hu80x,"[{""denom"":""uatom"",""amount"":247500}]",24
cosmos1fqpmnnqj4z2mv3xtlh4pph8rqdcadt79huv0dj,"[{""denom"":""uatom"",""amount"":1195}]",24
cosmos1uthgnhrjr5erkmwr7etxx8f6gvkez6t9rjw3hk,"[{""denom"":""uatom"",""amount"":1195}]",24
cosmos14n2lmufqep8qmn98yhtmy4uwsd7msmpfkr8vfd,"[{""denom"":""uatom"",""amount"":148234}]",23
cosmos1tjafre0yv0zc25my0mtl4fnytd6vfva93myual,"[{""denom"":""uatom"",""amount"":200000}]",23
cosmos1tkpa7d8d07d6vq3u7ztnu9r397u2pfryeweq7u,"[{""denom"":""uatom"",""amount"":108787}]",21
cosmos1k7vsqfyjhd9w4yvu2ar9r6ha62m9dgg978dvy6,"[{""denom"":""uatom"",""amount"":187950}]",20
cosmos1s4g725twjx4w66cfr5granf2fhzzvcy88jhjht,"[{""denom"":""uatom"",""amount"":198750}]",20
cosmos1ung2y6sp3s78ayurdw6v88gkk8r7zrvlm5clse,"[{""denom"":""uatom"",""amount"":45275}]",20
cosmos1h8nt6dx5hheg8c2qrgzccmr8ct2zjyushq9qde,"[{""denom"":""uatom"",""amount"":105126}]",19
cosmos1t574fa77w5lku74d9wyde0679yxkmk8tkmk03n,"[{""denom"":""uatom"",""amount"":5668}]",19
cosmos1c2ye0gy762fa4aqe33g3yk5dvfpkk6qlmn7w0q,[],17
cosmos1uw48wezgdh387wzx05t903384wqn6ec4zacvfv,[],16
cosmos1tps8g90tptdpkd73uq357nn9pzvvvsl53vet6y,"[{""denom"":""uatom"",""amount"":40125}]",16
cosmos1l9llz90a3jufgm6szn9uv5y2fa9hndd5h6m79y,"[{""denom"":""uatom"",""amount"":167700}]",16
cosmos1ja7szj9rme72esa4k5fuf8543srr0zzlfu0yy2,"[{""denom"":""uatom"",""amount"":99062}]",16
cosmos1dlx3ldf4wsqx6dfdntu9589hcy48hl38w5v070,"[{""denom"":""uatom"",""amount"":34218}]",16
cosmos17uknzsykhggrl9l7uh8q5y8c5zf2ks280vyzmt,"[{""denom"":""uatom"",""amount"":960000}]",16
cosmos1sldc95h64s7yxfmsq6tu56wu4x7pj9aetk68g2,"[{""denom"":""uatom"",""amount"":165}]",15
cosmos1e482dmm06dxhdz5pcthtu557zplh67yc2xek4v,"[{""denom"":""uatom"",""amount"":165}]",15
cosmos1t84n5aa3nrjava87snpsf70ruysstnl7v544hc,"[{""denom"":""uatom"",""amount"":146250}]",15
cosmos15fsukxlcshuz7raf04d45up89dnpg2rgegpk9j,"[{""denom"":""uatom"",""amount"":24683}]",15
cosmos19xnfwv3dddqgcy7lst9schqmkelwtu68en9p6p,"[{""denom"":""uatom"",""amount"":70182}]",14
cosmos14wj95k2fq7mdfgrzsjj6kldc9gkd3cc5gv5clk,"[{""denom"":""uatom"",""amount"":142500}]",14
cosmos1tkp220jmqlh83wnsypczaz09qv4cr5hzhs0szf,"[{""denom"":""uatom"",""amount"":132600}]",14
cosmos193hpf0sl6wklxenrcmn55ncghq0mdha2x8h4ny,"[{""denom"":""uatom"",""amount"":108750}]",14
cosmos1aa05zxsszzslgx66saucrttevna7h6lk0kjk4l,[],13
cosmos174n8ahlluqwwwegnapy8fexx3vhpxs9eak87q7,[],13
cosmos1tzukqmc46yfanepq66y82vtlz09zdym449xkzs,"[{""denom"":""uatom"",""amount"":142}]",13
cosmos1xfs895rj9xwtatl9z7asgcmlusccx7j2fl477e,"[{""denom"":""uatom"",""amount"":142}]",13
cosmos1vkerwlsq84dy70vfqf4ljryx2p3t2ve3qcg2am,"[{""denom"":""uatom"",""amount"":138750}]",13
cosmos1h5rcx73zj474nrkkcyf28tud47k8thy5d6cyuh,"[{""denom"":""uatom"",""amount"":86250}]",13
cosmos16m48j88mlw2smhc8nyurznt4jl9nqgyqgznphs,"[{""denom"":""uatom"",""amount"":494}]",13
cosmos12hjc5e9z3c4x8hl8yyxlqfx67wr89mea62685v,"[{""denom"":""uatom"",""amount"":279}]",13
cosmos195fdkavtrxywsp8eyqxha5zvwvfkv76f8x4t23,"[{""denom"":""uatom"",""amount"":140993}]",12
cosmos1ukpah0340rx7k3x2njnavwyjv6pfpvn657eufn,"[{""denom"":""uatom"",""amount"":123250}]",12
cosmos17lv9k480sgayrn9f2g3gahzqsseks6enrpdmzl,"[{""denom"":""uatom"",""amount"":1463}]",12
cosmos1l7c7l0y0vpuhncmzsxa88m56tzp89lpf2avqq8,"[{""denom"":""uatom"",""amount"":119}]",11
cosmos1jtn5x8u2ur8qt6hr4nwm5qgyph3j3267ler5a0,"[{""denom"":""uatom"",""amount"":52712}]",11
cosmos1w5e2ncsvzxs5qdg7t0rcemw8udw7g7mywqcy4a,"[{""denom"":""uatom"",""amount"":116250}]",11
cosmos1kl75ettxnkpy33kx2wsgeaxg9dlz8rqm2eeg0r,"[{""denom"":""uatom"",""amount"":116250}]",11
